area,sub_area,project,status,url,coordinates,developer,architectural_consultant,piling_contractor,contractor,owner,project_manager,financier,cost_consultant,interior_designer,sustainability_consultant,mep_consultant,hotel_operator,engineering_consultant,location_type,area_propsearch,phase,floors,building_type,total_units,unit_types,floors_below_ground,date_launched,construction_started,estimated_handover_date,revised_estimated_handover_date,caption,photo_url
Jumeirah Village Circle,JVC District 17,Ahmad Alkhyeli Building,Under development,https://propsearch.ae/dubai/ahmad-alkhyeli-building,"25°3 38.1""N 55°12 53.2""E",Ahmad Matar Majed Taresh Alkhyeli,Shadid Engineering Consultants,,,,,,,,,,,,Residential building,JVC District 17,Under development,21,High-rise building,,,,2017,2017,,,update January 2021,https://static.propsearch.ae/dubai-locations/ahmad-alkhyeli-building-26358_xl.jpg
Jumeirah Village Circle,JVC District 17,Al Abeir Residential Tower,Under development,https://propsearch.ae/dubai/al-abeir-residential-tower,"25°3 40.1""N 55°13 5.7""E",,Al Khawajah Engineering Consultancy,,Becon Construction Company,,,,,,,,,,Residential building,JVC District 17,Under development,19,High-rise building,,,,,,,,update January 2021,https://static.propsearch.ae/dubai-locations/al-abeir-residential-tower-26364_xl.jpg
Jumeirah Village Circle,JVC District 12,14 Townhouses,Under development,https://propsearch.ae/dubai/14-townhouses,"25°3 21.5""N 55°13 8.9""E",,Eng. Adnan Saffarini,,M. Naboulsi & Co. Contracting,,,,,,,,,,Townhouse row,JVC District 12,Under development,3,Low-rise building,,,,April 2016,2016,,,update January 2021,https://static.propsearch.ae/dubai-locations/14-townhouses-26373_xl.jpg
Jumeirah Village Circle,JVC District 14,Al Ma'ali Villas,Under development,https://propsearch.ae/dubai/al-maali-villas,"25°2 53.5""N 55°12 6.9""E",Salem Amer Mubarak Bu Kassim,DEC Dynamic,,,,,,,,,,,,Townhouse row,JVC District 14,Under development,,,,,,,,,,site signboard,https://static.propsearch.ae/photos/dubai/buildings/al-maali-villas-1378_xl.jpg
Jumeirah Village Circle,JVC District 17,Daytona X,Under development,https://propsearch.ae/dubai/daytona-x,"25°3 38.6""N 55°13 1""E",Orient Gate Real Estate,Al Khawajah Engineering Consultancy,,Al Hamad International Contracting,,,Abu Dhabi Commercial Bank,,,,,,,Residential building,JVC District 17,Under development,20,High-rise building,,,,2017,2017,,,update January 2021,https://static.propsearch.ae/dubai-locations/daytona-x-26351_xl.jpg
Jumeirah Village Circle,JVC District 14,Hive JVC,Under development,https://propsearch.ae/dubai/hive-jvc,"25°3 7.8""N 55°12 21.4""E",A.R.M. Holding,Al Wasl Al Jadeed Consultants,Geo Foundation Group,Aroma International Building Contractors,Dubai Real Estate Centre,,,JLL,Fadi Sarieddine,,,,,Residential building,JVC District 14,Under development,6,Mid-rise building,117,,2,,,Q1 2022,,site signboard,https://static.propsearch.ae/dubai-locations/hive-jvc-26732_xl.jpg
Jumeirah Village Circle,JVC District 10,Haven Residences,Under development,https://propsearch.ae/dubai/haven-residences,"25°3 49.8""N 55°12 17.8""E",Metrical Developments,Emirates Engineer Consulting Engineering,,Al Sayegh Contracting,Gulfstream,,,,,,,,,Residential building,JVC District 10,Under development,5,Mid-rise building,,,1,2020,,April 2022,,update January 2021,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc10pmrp200-26333_xl.jpg
Jumeirah Village Circle,JVC District 12,Hessa Residential Tower,Under development,https://propsearch.ae/dubai/hessa-residential-tower,"25°3 29.1""N 55°13 12.7""E",,Khatib & Alami,,Al Hamad International Contracting,,,,,,,,,,Residential building,JVC District 12,Under development,20,High-rise building,,,1,,,,,update January 2021,https://static.propsearch.ae/dubai-locations/hessa-residential-tower-26369_xl.jpg
Jumeirah Village Circle,JVC District 15,Gardenia Residential Building,Under development,https://propsearch.ae/dubai/gardenia-residential-building,"25°3 23.5""N 55°12 13.6""E",Memon Developments (FZC),Dimensions Architecture Unlimited,,,,,,,,,,,,Residential building,JVC District 15,Under development,5,Mid-rise building,,StudiosOne-bedroom apartmentsTwo-bedroom apartmentsLoft apartmentsVillas,,,,June 2018,,update January 2021,https://static.propsearch.ae/dubai-locations/gardenia-residential-building-26445_xl.jpg
Jumeirah Village Circle,JVC District 13,Frankfurt Tower,Under development,https://propsearch.ae/dubai/frankfurt-tower,"25°2 52.3""N 55°12 23.6""E",Memon Investments,Gesamtplanungsbüro Shakil Ahmed,,,,,,,,,,,,Residential building,JVC District 13,Under development,13,High-rise building,,StudiosOne-bedroom apartmentsTwo-bedroom apartmentsThree-bedroom apartmentsLoft apartments,,2007,2015,,,update February 2019,https://static.propsearch.ae/dubai-locations/frankfurt-tower-15512_xl.jpg
Jumeirah Village Circle,JVC District 18,Daytona 15,Under development,https://propsearch.ae/dubai/daytona-15,"25°3 12""N 55°12 0.8""E",Al Ahlia Real Estate Company LLC,,,,,,,,,,,,,Residential building,JVC District 18,Under development,20,High-rise building,143,,,Q2 2016,Q2 2016,,,update January 2021,https://static.propsearch.ae/dubai-locations/daytona-15-26451_xl.jpg
Jumeirah Village Circle,JVC District 13,Daytona 16,Under development,https://propsearch.ae/dubai/daytona-16,"25°3 14.1""N 55°12 28.1""E",Orient Gate Real Estate,,,,,,,,,,,,,Residential building,JVC District 13,Under development,23,High-rise building,179,,,2016,,,,update January 2021,https://static.propsearch.ae/dubai-locations/daytona-16-26406_xl.jpg
Jumeirah Village Circle,JVC District 14,Untitled Plot JVC14JMRP002,Under development,https://propsearch.ae/dubai/untitled-plot-jvc14jmrp002,"25°3 0.8""N 55°12 4.3""E",Lootah Real Estate Development,Arif & Bintoak,IGS Foundation Contracting,Hadeed Emirates Contracting,,,,,,GlobalTech Safety & Environmental Consultancy,,,,Residential building,JVC District 14,Under development,6,Mid-rise building,,,1,,2018,,,update June 2020,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc14jmrp002-21752_xl.jpg
Jumeirah Village Circle,JVC District 17,Daytona XI,Under development,https://propsearch.ae/dubai/daytona-xi,"25°3 38.5""N 55°13 6.1""E",Orient Gate Real Estate,Al Khawajah Engineering Consultancy,,,,,,,,,,,,Residential building,JVC District 17,Under development,21,High-rise building,,,,2016,2017,,,update January 2021,https://static.propsearch.ae/dubai-locations/daytona-xi-26365_xl.jpg
Jumeirah Village Circle,JVC District 17,Daytona XIII,Under development,https://propsearch.ae/dubai/daytona-xiii,"25°3 38.2""N 55°12 59.8""E",Orient Gate Real Estate,,,,,,,,,,,,,Residential building,JVC District 17,Under development,20,High-rise building,111,,,2015,,,,update January 2021,https://static.propsearch.ae/dubai-locations/daytona-xiii-26352_xl.jpg
Jumeirah Village Circle,JVC District 10,Takaful Emarat Building,Under development,https://propsearch.ae/dubai/takaful-emarat-building,"25°3 51.6""N 55°12 33""E",Takaful Emarat,National Engineering Bureau,TMF Euro Foundations,New System Engineering LLC,,,,,,,,,,Residential building,JVC District 10,Under development,17,High-rise building,,,3,2018,2019,,,update January 2021,https://static.propsearch.ae/dubai-locations/takaful-emarat-building-26329_xl.jpg
Jumeirah Village Circle,JVC District 14,The One at JVC by Ramada Plaza,Under development,https://propsearch.ae/dubai/the-one-at-jvc-by-ramada-plaza,"25°3 16.9""N 55°12 16.9""E",The First Group,Norr Group Consultants International Ltd,Zetas Zamin Teknolojisi,China Railway 18th Bureau Group,,,,,,,Akar Technical Services,,,Hotel,JVC District 14,Under development,42,Skyscraper,491,491 hotel rooms,,2015,2015,,,update January 2021,https://static.propsearch.ae/dubai-locations/the-one-at-jvc-by-ramada-plaza-26441_xl.jpg
Jumeirah Village Circle,JVC District 18,Prudential Tower 1,Under development,https://propsearch.ae/dubai/prudential-tower-1,"25°3 18.5""N 55°12 1.2""E",Al Tajir Real Estate,LACASA Architects & Engineering Consultants,,,,,,,,,,,,Residential building,JVC District 18,Under development,24,High-rise building,,,1,,2009,,,update January 2021,https://static.propsearch.ae/dubai-locations/prudential-tower-1-26450_xl.jpg
Jumeirah Village Circle,JVC District 13,The Square,Under development,https://propsearch.ae/dubai/the-square,"25°2 47.3""N 55°12 22.3""E",Tiger Properties,Aroom Architects & Consultants,,Tiger International General Contracting,Waleed Mohammed Mohammed,,,,,,,,,Residential building,JVC District 13,Under development,42,Skyscraper,346,222 studios120 one-bedroom apartments4 duplexes,,2018,2018,,,update January 2021,https://static.propsearch.ae/dubai-locations/the-square-26424_xl.jpg
Jumeirah Village Circle,JVC District 12,The Sloane by Belgravia Heights,Under development,https://propsearch.ae/dubai/the-sloane-by-belgravia-heights,"25°3 11.3""N 55°13 11.2""E",Ellington Properties Development LLC,Federal Engineering Consultants,Aroma International Building Contractors,,Central Park Ventures,,,,,,,,,Residential building,JVC District 12,Under development,19,High-rise building,143,29 studios89 one-bedroom apartments25 two-bedroom apartments,,June 2018,June 2018,,,update January 2021,https://static.propsearch.ae/dubai-locations/belgravia-heights-2-26377_xl.jpg
Jumeirah Village Circle,JVC District 13,Mazaya Consulting Engineers Building,Under development,https://propsearch.ae/dubai/mazaya-consulting-engineers-building,"25°2 53.9""N 55°12 47.1""E",,Mazaya Consulting Engineers,,Globe Building Contracting,,,,,,,,,,Residential building,JVC District 13,Under development,,,,,,,,,,update January 2021,https://static.propsearch.ae/dubai-locations/mazaya-consulting-engineers-building-26386_xl.jpg
Jumeirah Village Circle,JVC District 10,Mag 612,Under development,https://propsearch.ae/dubai/mag-612,"25°3 18""N 55°13 12.9""E",MAG Group,Al Gurg,,Fujairah National Construction Company,,,,,,,,,,Residential building,JVC District 10,Under development,24,High-rise building,133,,,June 2018,,,,update July 2020,https://static.propsearch.ae/dubai-locations/mag-612-22100_xl.jpg
Jumeirah Village Circle,JVC District 13,Lucky 1 Residence,Under development,https://propsearch.ae/dubai/lucky-1-residence,"25°2 54.1""N 55°12 23.7""E",Lucky Aeon Real Estate Development,Em Square Engineering Consultants,Atlas Foundations,,Infinite Inc,,,,,,,,,Residential building,JVC District 13,Under development,14,High-rise building,,,,2018,2018,,,update January 2021,https://static.propsearch.ae/dubai-locations/lucky-1-residence-26418_xl.jpg
Jumeirah Village Circle,JVC District 14,Living Garden,Under development,https://propsearch.ae/dubai/living-garden,"25°2 58.9""N 55°12 3""E",Lootah Real Estate Development,Arif & Bintoak,IGS Foundation Contracting,Hadeed Emirates Contracting,,,,,,GlobalTech Safety & Environmental Consultancy,,,,Residential building,JVC District 14,Under development,6,Mid-rise building,,,1,,December 2017,,,update January 2021,https://static.propsearch.ae/dubai-locations/living-garden-26432_xl.jpg
Jumeirah Village Circle,JVC District 18,Prudential Tower 2,Under development,https://propsearch.ae/dubai/prudential-tower-2,"25°3 12""N 55°12 3.5""E",Al Tajir Real Estate,Al Hilal Engineering Consultants,Dutch Europe Piling & Foundation Contracting,Civilco,,,Abu Dhabi Commercial Bank,,,,,,,Residential building,JVC District 18,Under development,46,Skyscraper,,,,,,,,update January 2021,https://static.propsearch.ae/dubai-locations/prudential-tower-2-26438_xl.jpg
Jumeirah Village Circle,JVC District 10,Signature Livings,Under development,https://propsearch.ae/dubai/signature-livings,"25°3 56""N 55°12 25.1""E",Green Group,Modular Design Engineering Consultants,,Dubai Walls Constructions,Farhan Fattah,,,,,,,,,Residential building,JVC District 10,Under development,5,Mid-rise building,,,1,,,,,update January 2021,https://static.propsearch.ae/dubai-locations/signature-livings-26334_xl.jpg
Jumeirah Village Circle,JVC District 14,Samaya JV Residence,Under development,https://propsearch.ae/dubai/samaya-jv-residence,"25°3 15.4""N 55°12 17.6""E",,,,,,,,,,,,,,Residential building,JVC District 14,Under development,5,Mid-rise building,,,,2016,,,,update January 2021,https://static.propsearch.ae/dubai-locations/samaya-jv-residence-26440_xl.jpg
Jumeirah Village Circle,JVC District 10,Serenity Lakes 1,Under development,https://propsearch.ae/dubai/serenity-lakes-1,"25°3 42.3""N 55°12 13.6""E",Gulf Land Property Developers,Naga Architects,,,,,,,,,,,,Residential building,JVC District 10,Under development,5,Mid-rise building,,,,,,,,update January 2021,https://static.propsearch.ae/dubai-locations/serenity-lakes-1-26312_xl.jpg
Jumeirah Village Circle,JVC District 10,Serenity Lakes 2,Under development,https://propsearch.ae/dubai/serenity-lakes-2,"25°3 41.7""N 55°12 10.7""E",Gulf Land Property Developers,Naga Architects,,,,,,,,,,,,Residential building,JVC District 10,Under development,5,Mid-rise building,,,,,,,,update January 2021,https://static.propsearch.ae/dubai-locations/serenity-lakes-2-26309_xl.jpg
Jumeirah Village Circle,JVC District 10,Rigel Residence,Under development,https://propsearch.ae/dubai/rigel-residence,"25°3 48.7""N 55°12 6.9""E",Myra Real Estate Developments,Em Square Engineering Consultants,,City Experts Constructions LLC,Abbar Holding Limited,,,,,,,,,Residential building,JVC District 10,Under development,7,Mid-rise building,,,,2018,,,,update January 2021,https://static.propsearch.ae/dubai-locations/rigel-residence-26307_xl.jpg
Jumeirah Village Circle,JVC District 16,Rooya Townhouses,Under development,https://propsearch.ae/dubai/rooya-townhouses,"25°4 6.3""N 55°12 41.2""E",Rooya Real Estate Development Co LLC,Creative Line Engineering Consultants,,,,,,,,,,,,Townhouse row,JVC District 16,Under development,3,Low-rise building,,,,December 2014,2015,,,update August 2016,https://static.propsearch.ae/photos/dubai/buildings/rooya-townhouses-7035_xl.jpg
Jumeirah Village Circle,JVC District 17,Courtyard by Marriott JVC,Under development,https://propsearch.ae/dubai/courtyard-by-marriott-jvc,"25°3 37.5""N 55°13 9.9""E",Khamas Group,National Engineering Bureau,,,,,,,,,,Marriott International,,Hotel,JVC District 17,Under development,42,Skyscraper,,,,2017,,2020,,update January 2021,https://static.propsearch.ae/dubai-locations/courtyard-by-marriott-jvc-26367_xl.jpg
Jumeirah Village Circle,JVC District 11,Circle Mall,Under development,https://propsearch.ae/dubai/circle-mall,"25°3 57.2""N 55°12 56.8""E",Nakheel PJSC,Arif & Bintoak,,Drake & Scull International,,,,,,,,,,Mixed-use building,JVC District 11,Under development,,,,,,2015,2016,2017,,update January 2021,https://static.propsearch.ae/dubai-locations/circle-mall-26345_xl.jpg
Jumeirah Village Circle,JVC District 10,Bloom Towers,Under development,https://propsearch.ae/dubai/bloom-towers,"25°4 1.1""N 55°12 13""E",Bloom Properties,Al Khawajah Engineering Consultancy,National Piling Company,Al Oroba Contracting LLC,,,,,,,Menasco,,,Multi-building complex,JVC District 10,Under development,,,944,,,April 2017,,Q4 2020,,update January 2021,https://static.propsearch.ae/dubai-locations/bloom-towers-26304_xl.jpg
Jumeirah Village Circle,JVC District 13,Avalon Tower,Under development,https://propsearch.ae/dubai/avalon-tower,"25°3 13.7""N 55°12 38.8""E",The First Group,Al Hawraa Engineering Consultants,,,,,,,,,,Millennium & Copthorne,,Hotel,JVC District 13,Under development,17,High-rise building,349,349 hotel rooms,,2017,December 2017,,,update January 2021,https://static.propsearch.ae/dubai-locations/avalon-tower-26403_xl.jpg
Jumeirah Village Circle,JVC District 11,Bait Al Bahar Investment Building,Under development,https://propsearch.ae/dubai/bait-al-bahar-investment-building,"25°4 4.1""N 55°12 55.2""E",Bait Al Bahar Investment,EDMAC Engineering Consultant,GlobalTech Safety & Environmental Consultancy,Autocad Construction,,,,,,,,,,Residential building,JVC District 11,Under development,14,High-rise building,,,,,,,,update January 2021,https://static.propsearch.ae/dubai-locations/bait-al-bahar-investment-building-26344_xl.jpg
Jumeirah Village Circle,JVC District 15,Belgravia 3,Under development,https://propsearch.ae/dubai/belgravia-3,"25°3 34.7""N 55°11 59.2""E",Ellington Properties Development LLC,Federal Engineering Consultants,,Reem Capital Contracting,,,,,,,,,,Residential building,JVC District 15,Under development,6,Mid-rise building,260,One-bedroom apartmentsTwo-bedroom apartments,,2017,2017,,,update January 2021,https://static.propsearch.ae/dubai-locations/belgravia-3-26456_xl.jpg
Jumeirah Village Circle,JVC District 12,Belgravia Heights 1,Under development,https://propsearch.ae/dubai/belgravia-heights-1,"25°3 13.4""N 55°13 12.3""E",Ellington Properties Development LLC,Federal Engineering Consultants,Aroma International Building Contractors,,Central Park Ventures,,,,,,,,,Residential building,JVC District 12,Under development,21,High-rise building,155,StudiosOne-bedroom apartmentsTwo-bedroom apartments,,April 2018,April 2018,,,update January 2021,https://static.propsearch.ae/dubai-locations/belgravia-heights-1-26375_xl.jpg
Jumeirah Village Circle,JVC District 15,Binghatti Gate,Under development,https://propsearch.ae/dubai/binghatti-gate,"25°3 45.3""N 55°11 58.1""E",Binghatti Developers,Silver Stone Engineering Consultants,Granada Europe Engineering Contracting Co.,,,,,,,,,,,Residential building,JVC District 15,Under development,9,Mid-rise building,132,84 one-bedroom apartments48 two-bedroom apartments,,,Q3 2020,,,update March 2021,https://static.propsearch.ae/dubai-locations/binghatti-gate-27597_xl.jpg
Jumeirah Village Circle,JVC District 10,Binghatti Mirage,Under development,https://propsearch.ae/dubai/binghatti-mirage,"25°3 53.3""N 55°12 27.4""E",Binghatti Developers,Silver Stone Engineering Consultants,,Granada Europe Engineering Contracting Co.,,,,,,,,,,Residential building,JVC District 10,Under development,,,160,,,April 2021,,March 2022,,site signboard,https://static.propsearch.ae/dubai-locations/binghatti-mirage-26335_xl.jpg
Jumeirah Village Circle,JVC District 15,Bloom Heights,Under development,https://propsearch.ae/dubai/bloom-heights,"25°3 22""N 55°12 13.6""E",Bloom Properties,,,,,,,,,,,,,Multi-building complex,JVC District 15,Under development,,,686,,,September 2016,,Q1 2019,Q1 2021,update January 2021,https://static.propsearch.ae/dubai-locations/bloom-heights-26443_xl.jpg
Jumeirah Village Circle,JVC District 12,Regina Tower,Under development,https://propsearch.ae/dubai/regina-tower,"25°3 25.8""N 55°12 43.9""E",Tiger Properties,Design Center,,Tiger International General Contracting,,,,,,,,,,Residential building,JVC District 12,Under development,37,Skyscraper,,,2,2019,,,,update January 2021,https://static.propsearch.ae/dubai-locations/regina-tower-26397_xl.jpg
Jumeirah Village Circle,JVC District 13,Xanadu Residence 2,Under development,https://propsearch.ae/dubai/xanadu-residence-2,"25°3 4.1""N 55°12 30.1""E",Alpha Properties,,,Consortio International,,,,,,,,,,Residential building,JVC District 13,Under development,5,Mid-rise building,,,1,,,,,update January 2021,https://static.propsearch.ae/dubai-locations/xanadu-residence-2-26413_xl.jpg
Jumeirah Village Circle,JVC District 10,Untitled Plot JVC104BVIL007,Under development,https://propsearch.ae/dubai/untitled-plot-jvc104bvil007,"25°3 47.8""N 55°12 22.9""E",,,,,,,,,,,,,,Residential building,JVC District 10,Under development,2,Low-rise building,,,,,,,,update January 2021,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc104bvil007-26332_xl.jpg
Jumeirah Village Circle,JVC District 10,Untitled Plot JVC10AAMRM002,Under development,https://propsearch.ae/dubai/untitled-plot-jvc10aamrm002,"25°3 32.9""N 55°12 19.8""E",,,,,,,,,,,,,,Residential building,JVC District 10,Under development,11,High-rise building,,,,,,,,update January 2021,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc10aamrm002-26317_xl.jpg
Jumeirah Village Circle,JVC District 10,Untitled Plot JVC10ACVIL001,Under development,https://propsearch.ae/dubai/untitled-plot-jvc10acvil001,"25°3 50.2""N 55°12 22.2""E",,Al Saraya Engineering Consultants,,Emirates Sands Contracting LLC,,,,,,,,,,Residential building,JVC District 10,Under development,2,Low-rise building,,,,,,,,update January 2021,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc10acvil001-26331_xl.jpg
Jumeirah Village Circle,JVC District 10,Untitled Plot JVC10AMRA005,Under development,https://propsearch.ae/dubai/untitled-plot-jvc10amra005,"25°3 33.8""N 55°12 20.5""E",,,,,,,,,,,,,,Residential building,JVC District 10,Under development,5,Mid-rise building,,,,,,,,update January 2021,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc10amra005-26316_xl.jpg
Jumeirah Village Circle,JVC District 10,Untitled Plot JVC10CMRA005,Under development,https://propsearch.ae/dubai/untitled-plot-jvc10cmra005,"25°3 56.6""N 55°12 32.6""E",Hussain Mohd Hussain Al Marzouqi,HAO Architectural & Engineering Consultants,,Dubai Walls Constructions,,,,,,,,,,Residential building,JVC District 10,Under development,5,Mid-rise building,,,2,,,,,update July 2020,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc10cmra005-21855_xl.jpg
Jumeirah Village Circle,JVC District 10,Untitled Plot JVC10CMRM002,Under development,https://propsearch.ae/dubai/untitled-plot-jvc10cmrm002,"25°3 52.7""N 55°12 33.2""E",,,,,,,,,,,,,,Residential building,JVC District 10,Under development,15,High-rise building,,,,,,,,update January 2021,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc10cmrm002-26330_xl.jpg
Jumeirah Village Circle,JVC District 10,Untitled Plot JVC10SMRP200,Under development,https://propsearch.ae/dubai/untitled-plot-jvc10smrp200,"25°3 52.7""N 55°12 8.9""E",Mr Khalid Ahmed Qasem Al-Khatib,Art Consultants Dubai,,,,,,,,,,,,Residential building,JVC District 10,Under development,5,Mid-rise building,,,,,2017,,,update January 2021,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc10smrp200-26306_xl.jpg
Jumeirah Village Circle,JVC District 10,Untitled Plot JVC10XMRA006,Under development,https://propsearch.ae/dubai/untitled-plot-jvc10xmra006,"25°3 40.2""N 55°12 12.4""E",,Chawla Architectural & Consulting Engineers,,SKR Building & Contracting LLC,Mohammad Sajid,,,,,,,,,Residential building,JVC District 10,Under development,5,Mid-rise building,,,1,,2018,,,site signboard,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc10xmra006-26725_xl.jpg
Jumeirah Village Circle,JVC District 10,Untitled Plot JVC10YFRP001,Under development,https://propsearch.ae/dubai/untitled-plot-jvc10yfrp001,"25°3 43.7""N 55°12 12.5""E",Universal Properties Limited,Paradise Home Engineering Consultancy,,Chirag Contracting,,,,,,,,,,Townhouse row,JVC District 10,Under development,3,Low-rise building,,,,2018,2018,,,update January 2021,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc10yfrp001-26311_xl.jpg
Jumeirah Village Circle,JVC District 11,Waseem Haider Building,Under development,https://propsearch.ae/dubai/waseem-haider-building,"25°3 37.2""N 55°12 34.8""E",Waseem Haider Ghulam Haider,Chawla Architectural & Consulting Engineers,Cosmos Piling,SKR Building & Contracting LLC,,,,,,,,,,Residential building,JVC District 11,Under development,6,Mid-rise building,,,1,,,,,update January 2021,https://static.propsearch.ae/dubai-locations/waseem-haider-building-26321_xl.jpg
Jumeirah Village Circle,JVC District 15,Untitled Plot JVC15MMRA003,Under development,https://propsearch.ae/dubai/untitled-plot-jvc15mmra003,"25°3 24.1""N 55°11 49.9""E",,Em Square Engineering Consultants,SPF Soiltec,,,,,,,,,,,Residential building,JVC District 15,Under development,5,Mid-rise building,,,,2017,,,,update January 2021,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc15mmra003-26453_xl.jpg
Jumeirah Village Circle,JVC District 15,Untitled Plot JVC15PMRP200,Under development,https://propsearch.ae/dubai/untitled-plot-jvc15pmrp200,"25°3 23.3""N 55°12 3.9""E",GHD Developments,Federal Engineering Consultants,,Dubai Walls Constructions,,,,,,,,,,Residential building,JVC District 15,Under development,5,Mid-rise building,,,1,2018,2018,,,update January 2021,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc15pmrp200-26447_xl.jpg
