,area,sub_area,project,status,url,coordinates,developer,architectural_consultant,contractor,piling_contractor,owner,financier,mep_consultant,interior_designer,project_manager,engineering_consultant,hotel_operator,location_type,area_propsearch,phase,floors,building_type,total_units,unit_types,floors_below_ground,height,date_launched,estimated_handover_date,construction_started,revised_estimated_handover_date,caption,photo_url
144,Business Bay,Al Habtoor City,Amna Tower,Under development,https://propsearch.ae/dubai/amna-tower,"25°10 57.2""N 55°15 20.6""E",Al Habtoor Group,WS Atkins & Partners,,,,,,,,,,Residential building,Al Habtoor City,Under development,52,Skyscraper,537,One-bedroom apartmentsTwo-bedroom apartmentsThree-bedroom apartmentsFour-bedroom apartmentsFive-bedroom apartmentsSix-bedroom apartmentsPenthouses,,"307 metres (1,007 feet)",,,,,update July 2020,https://static.propsearch.ae/dubai-locations/amna-tower-22350_xl.jpg
158,Business Bay,Business Bay,Kingston Towers Business Bay,Under development,https://propsearch.ae/dubai/kingston-towers-business-bay,"25°10 49.8""N 55°16 42.1""E",Kingston,Canadian Consultant,Gulf Asia Contracting,Delta Foundations Co.,,,,,Faithful & Gould,MAK Consultancy & Architects,,Multi-building complex,Business Bay,Under development,,,,,2,,2018,,2019,,update May 2021,https://static.propsearch.ae/dubai-locations/kingston-towers-business-bay-28538_xl.jpg
167,Business Bay,Business Bay,Sky Bay Hotel,Under development,https://propsearch.ae/dubai/sky-bay-hotel,"25°10 41.3""N 55°16 4.7""E",The First Group,Alajmi Engineering Consultants,Al Habbai Contracting LLC,,,,,,,,,Hotel,Business Bay,Under development,18,High-rise building,440,440 hotel rooms,,,,,2016,,update May 2021,https://static.propsearch.ae/dubai-locations/sky-bay-hotel-28565_xl.jpg
173,Business Bay,Business Bay,Safeer Tower 3,Under development,https://propsearch.ae/dubai/safeer-tower-3,"25°10 47.6""N 55°16 40.4""E",Al Seeb Real Estate Development,National Engineering Bureau,Rose City Contracting LLC,,,,,,,,,Residential building,Business Bay,Under development,20,High-rise building,,,1,,2018,,2019,,update May 2021,https://static.propsearch.ae/dubai-locations/safeer-tower-3-28541_xl.jpg
177,Business Bay,Business Bay,Ritz Carlton Hotel Apartments,Under development,https://propsearch.ae/dubai/ritz-carlton-hotel-apartments,"25°11 4.7""N 55°17 6.4""E",Kappa Acca Real Estate Development,National Engineering Bureau,AIC Contracting,,Khamas Group of Investment Companies,,,,,,,Hotel apartments building,Business Bay,Under development,,,,,,,Q1 2021,,,,site signboard,https://static.propsearch.ae/dubai-locations/ritz-carlton-hotel-apartments-28528_xl.jpg
178,Business Bay,Business Bay,Reva by Damac,Under development,https://propsearch.ae/dubai/reva-by-damac,"25°11 16""N 55°16 59.1""E",Damac Properties,U+A Architects,Arabtec Construction,National Piling Company,,,,,,,,Multi-building complex,Business Bay,Under development,,,,,,,January 2018,,2018,,update May 2021,https://static.propsearch.ae/dubai-locations/reva-by-damac-28605_xl.jpg
185,Business Bay,Business Bay,Ramee Grand Hotel & Spa,Under development,https://propsearch.ae/dubai/ramee-grand-hotel-spa,"25°11 17.2""N 55°16 53.6""E",Ramee Group,Archgroup Consultants,Delta Al Wadi Contracting,Delta Foundations Co.,,,,,,,,Hotel,Business Bay,Under development,20,High-rise building,,,4,,2017,,2018,,update May 2021,https://static.propsearch.ae/dubai-locations/ramee-grand-hotel-spa-28593_xl.jpg
189,Business Bay,Business Bay,SRG Holding Hotel Business Bay,Under development,https://propsearch.ae/dubai/srg-holding-hotel-business-bay,"25°11 6""N 55°17 23.1""E",SRG Holding Limited,ERGA Progress Engineering Consultants,Al Habbai Contracting LLC,,,,,,,,,Mixed-use building,Business Bay,Under development,29,Skyscraper,,,1,,2018,,2018,,update May 2021,https://static.propsearch.ae/dubai-locations/srg-holding-hotel-business-bay-28521_xl.jpg
192,Business Bay,Business Bay,Kempinski Business Bay,Under development,https://propsearch.ae/dubai/kempinski-business-bay,"25°10 54.3""N 55°16 45.1""E",Seastar Properties Limited,National Engineering Bureau,,,,,,,,,,Hotel,Business Bay,Under development,25,Skyscraper,240,240 hotel rooms,,,,,,,update May 2021,https://static.propsearch.ae/dubai-locations/kempinski-business-bay-28611_xl.jpg
193,Business Bay,Business Bay,Kasco Tower,Under development,https://propsearch.ae/dubai/kasco-tower,"25°11 0.9""N 55°17 2.5""E",Ahmed Al Janabi,Next Engineering Consultants,Sumer Contracting Company,,,,,,,,,Residential building,Business Bay,Under development,23,High-rise building,,,2,,2018,,2018,,update May 2021,https://static.propsearch.ae/dubai-locations/kasco-tower-28531_xl.jpg
196,Business Bay,Business Bay,J One,Under development,https://propsearch.ae/dubai/j-one,"25°11 10.3""N 55°17 0""E",RKM Real Estate LLC,QHC Architects & Engineers LLC,Ali & Sons Contracting,,,Commercial Bank of Dubai,,,,,,Multi-building complex,Business Bay,Under development,,,347,,,,August 2017,,2017,,update May 2021,https://static.propsearch.ae/dubai-locations/j-one-28607_xl.jpg
209,Business Bay,Business Bay,The Court Tower,Under development,https://propsearch.ae/dubai/the-court-tower,"25°11 4.8""N 55°15 31.8""E",Tanmiyat Global,Al Hazmi & Associates Consultant,,,,,,,,,,Office building,Business Bay,Under development,30,Skyscraper,,,,,2005,,2006,,update May 2021,https://static.propsearch.ae/dubai-locations/the-court-tower-28572_xl.jpg
219,Business Bay,Business Bay,The One Hotel Business Bay,Under development,https://propsearch.ae/dubai/the-one-hotel-business-bay,"25°10 44.3""N 55°16 32.8""E",The First Group,Engineering Consultants Group,China Railway 18th Bureau Group,Stromek Emirates Foundations,,,Heat & Power Turnkey MEP Solutions,,,,,Hotel,Business Bay,Under development,18,High-rise building,492,492 hotel rooms,2,,July 2016,,2017,,update May 2021,https://static.propsearch.ae/dubai-locations/the-one-hotel-business-bay-28543_xl.jpg
233,Business Bay,Business Bay,Dorchester Hotel Dubai,Under development,https://propsearch.ae/dubai/dorchester-hotel-dubai,"25°11 16.3""N 55°17 17.6""E",Sky Palaces Real Estate,Foster + Partners,Roberts Constructions,NSCC International,,Ajman Bank,,,,,,Hotel,Business Bay,Under development,32,Skyscraper,,,2,,2017,2020,2017,,update May 2021,https://static.propsearch.ae/dubai-locations/dorchester-hotel-dubai-28550_xl.jpg
243,Business Bay,Business Bay,Dolphin Tower,Under development,https://propsearch.ae/dubai/dolphin-tower,"25°10 59.1""N 55°16 59.4""E",,Arab Experts Engineering Consultants,Modern Executive Systems Contracting,,Farida Farnood,,,,,,The First Group,Hotel apartments building,Business Bay,Under development,22,High-rise building,330,330 hotel rooms,,,,,,,update January 2021,https://static.propsearch.ae/dubai-locations/dolphin-tower-26490_xl.jpg
285,Business Bay,Business Bay,Bayz by Danube,Under development,https://propsearch.ae/dubai/bayz-by-danube,"25°10 50.5""N 55°16 45.5""E",Danube Properties Development LLC,National Engineering Bureau,RAQ Contracting Co LLC,,,,,,,,,Residential building,Business Bay,Under development,30,Skyscraper,456,264 studios120 one-bedroom apartments48 two-bedroom apartments24 three-bedroom apartments,,,May 2017,,2018,,update May 2021,https://static.propsearch.ae/dubai-locations/bayz-by-danube-28539_xl.jpg
291,Business Bay,Business Bay,Corporate Bay Tower,Under development,https://propsearch.ae/dubai/corporate-bay-tower,"25°11 5.3""N 55°15 40.1""E",Goldline Real Estate Development LLC,Em Square Engineering Consultants,China State Construction Engineering Corporation,,,,,,,,,Office building,Business Bay,Under development,30,Skyscraper,,,5,,,,2007,,update January 2021,https://static.propsearch.ae/dubai-locations/corporate-bay-tower-26537_xl.jpg
295,Business Bay,Business Bay,Tiara United Towers,Under development,https://propsearch.ae/dubai/tiara-united-towers,"25°11 19.8""N 55°15 35.7""E",Zabeel Investments,,,,,,,,,,,Multi-building complex,Business Bay,Under development,,,,,,,,,2006,,update May 2021,https://static.propsearch.ae/dubai-locations/tiara-united-towers-28577_xl.jpg
296,Business Bay,Business Bay,Commercial & Residential Tower Plot 3460763,Under development,https://propsearch.ae/dubai/commercial-residential-tower-plot-3460763,"25°11 25.9""N 55°17 27.7""E",,Art Consultants Dubai,Gulf Asia Contracting,Edrafor Piling And Special Foundation,,,,,,,,Residential building,Business Bay,Under development,21,High-rise building,,,2,,,,2019,,update May 2021,https://static.propsearch.ae/dubai-locations/commercial-residential-tower-plot-3460763-28516_xl.jpg
298,Business Bay,Business Bay,Zada Tower,Under development,https://propsearch.ae/dubai/zada-tower,"25°11 4.6""N 55°15 42""E",Damac Properties,Kieferle & Partner,Transemirates Contracting,National Piling Company,,,,,,,,Residential building,Business Bay,Under development,30,Skyscraper,699,699 one-bedroom apartments,4,,April 2019,,,,update May 2021,https://static.propsearch.ae/dubai-locations/zada-tower-28566_xl.jpg
299,Business Bay,Business Bay,Yotel Dubai,Under development,https://propsearch.ae/dubai/yotel-dubai,"25°11 15.8""N 55°15 29.7""E",Dubai Investment Properties,,,,,,,,,,,Hotel,Business Bay,Under development,42,Skyscraper,565,565 hotel rooms,,,,Q3 2018,August 2016,,update May 2021,https://static.propsearch.ae/dubai-locations/yotel-dubai-28576_xl.jpg
303,Business Bay,Business Bay,West Bay Tower,Under development,https://propsearch.ae/dubai/west-bay-tower,"25°11 5""N 55°15 48.1""E",Orion Real Estate Development,National Engineering Bureau,Gulf Technical Construction Company,Geo Foundation Group,,,,,Bonyan International Investment Group Holding,,,Residential building,Business Bay,Under development,34,Skyscraper,252,24 studios78 one-bedroom apartments120 two-bedroom apartments30 three-bedroom apartments,4,,,2009,October 2018,December 2019,site signboard,https://static.propsearch.ae/dubai-locations/west-bay-tower-28630_xl.jpg
306,Business Bay,Business Bay,Waterfall Tower,Under development,https://propsearch.ae/dubai/waterfall-tower,"25°10 51""N 55°15 57.3""E",Faisal Muhsen Barakat,Nàbito Architects,,,,,,,,,,Residential building,Business Bay,Under development,22,High-rise building,,,,,2017,,2017,,update May 2021,https://static.propsearch.ae/dubai-locations/waterfall-tower-28562_xl.jpg
312,Business Bay,Business Bay,Vera by Damac,Under development,https://propsearch.ae/dubai/vera-by-damac,"25°11 13.2""N 55°16 57.8""E",Damac Properties,U+A Architects,Arabtec Construction,National Piling Company,,,,,,,,Residential building,Business Bay,Under development,30,Skyscraper,,StudiosOne-bedroom apartmentsTwo-bedroom apartments,,,June 2016,2018,,,update May 2021,https://static.propsearch.ae/dubai-locations/vera-by-damac-28606_xl.jpg
