,area,sub_area,project,status,url,tables,coordinates,last_photo_update
144,Business Bay,Al Habtoor City,Amna Tower,Under development,https://propsearch.ae/dubai/amna-tower,"{'amna-tower-key-information': {'Location type': 'Residential building', 'Area': 'Al Habtoor City', 'Phase': 'Under development', 'Floors': '52', 'Height': '307 metres (1,007 feet)', 'Building type': 'Skyscraper', 'Total units': '537', 'Unit types': 'One-bedroom apartmentsTwo-bedroom apartmentsThree-bedroom apartmentsFour-bedroom apartmentsFive-bedroom apartmentsSix-bedroom apartmentsPenthouses'}, 'companies-associated-with-amna-tower': {'Developer': 'Al Habtoor Group', 'Architectural Consultant': 'WS Atkins & Partners'}, 'proximity-to-landmarks': {'Palm Jumeirah': '18 mins drive', 'Al Maktoum International Airport': '40 mins drive', 'La Mer by Meraas': '14 mins drive', 'Mall of the Emirates': '13 mins drive', 'Dubai Mall': '10 mins drive', 'Burj Al Arab': '16 mins drive', 'Ibn Battuta Mall': '21 mins drive', 'The Walk JBR': '21 mins drive', 'Dubai International Airport': '18 mins drive'}}","25°10 57.2""N 55°15 20.6""E","{'caption': 'Amna Tower, construction update July 2020.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/amna-tower-22350_xl.jpg'}"
158,Business Bay,Business Bay,Kingston Towers Business Bay,Under development,https://propsearch.ae/dubai/kingston-towers-business-bay,"{'kingston-towers-business-bay-key-information': {'Location type': 'Multi-building complex', 'Area': 'Business Bay', 'Phase': 'Under development', 'Floors below ground': '2'}, 'companies-associated-with-kingston-towers-business-bay': {'Developer': 'Kingston', 'Project Manager': 'Faithful & Gould', 'Architectural Consultant': 'Canadian Consultant', 'Engineering Consultant': 'MAK Consultancy & Architects', 'Contractor': 'Gulf Asia Contracting', 'Piling Contractor': 'Delta Foundations Co.'}, 'kingston-towers-business-bay-milestones': {'Date Launched': '2018', 'Construction Started': '2019'}, 'proximity-to-landmarks': {'Palm Jumeirah': '18 mins drive', 'Al Maktoum International Airport': '39 mins drive', 'La Mer by Meraas': '17 mins drive', 'Mall of the Emirates': '14 mins drive', 'Dubai Mall': '9 mins drive', 'Burj Al Arab': '17 mins drive', 'Ibn Battuta Mall': '21 mins drive', 'The Walk JBR': '22 mins drive', 'Dubai International Airport': '16 mins drive'}}","25°10 49.8""N 55°16 42.1""E","{'caption': 'Kingston Towers Business Bay, construction update May 2021.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/kingston-towers-business-bay-28538_xl.jpg'}"
167,Business Bay,Business Bay,Sky Bay Hotel,Under development,https://propsearch.ae/dubai/sky-bay-hotel,"{'sky-bay-hotel-key-information': {'Location type': 'Hotel', 'Area': 'Business Bay', 'Phase': 'Under development', 'Floors': '18', 'Building type': 'High-rise building', 'Total units': '440', 'Unit types': '440 hotel rooms'}, 'companies-associated-with-sky-bay-hotel': {'Developer': 'The First Group', 'Architectural Consultant': 'Alajmi Engineering Consultants', 'Contractor': 'Al Habbai Contracting LLC'}, 'sky-bay-hotel-milestones': {'Construction Started': '2016'}, 'proximity-to-landmarks': {'Palm Jumeirah': '18 mins drive', 'Al Maktoum International Airport': '40 mins drive', 'La Mer by Meraas': '17 mins drive', 'Mall of the Emirates': '14 mins drive', 'Dubai Mall': '10 mins drive', 'Burj Al Arab': '17 mins drive', 'Ibn Battuta Mall': '21 mins drive', 'The Walk JBR': '22 mins drive', 'Dubai International Airport': '18 mins drive'}}","25°10 41.3""N 55°16 4.7""E","{'caption': 'Sky Bay Hotel, construction update May 2021.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/sky-bay-hotel-28565_xl.jpg'}"
173,Business Bay,Business Bay,Safeer Tower 3,Under development,https://propsearch.ae/dubai/safeer-tower-3,"{'safeer-tower-3-key-information': {'Location type': 'Residential building', 'Area': 'Business Bay', 'Phase': 'Under development', 'Floors': '20', 'Floors below ground': '1', 'Building type': 'High-rise building'}, 'companies-associated-with-safeer-tower-3': {'Developer': 'Al Seeb Real Estate Development', 'Architectural Consultant': 'National Engineering Bureau', 'Contractor': 'Rose City Contracting LLC'}, 'safeer-tower-3-milestones': {'Date Launched': '2018', 'Construction Started': '2019'}, 'proximity-to-landmarks': {'Palm Jumeirah': '19 mins drive', 'Al Maktoum International Airport': '39 mins drive', 'La Mer by Meraas': '17 mins drive', 'Mall of the Emirates': '14 mins drive', 'Dubai Mall': '10 mins drive', 'Burj Al Arab': '17 mins drive', 'Ibn Battuta Mall': '22 mins drive', 'The Walk JBR': '22 mins drive', 'Dubai International Airport': '16 mins drive'}}","25°10 47.6""N 55°16 40.4""E","{'caption': 'Safeer Tower 3, construction update May 2021.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/safeer-tower-3-28541_xl.jpg'}"
177,Business Bay,Business Bay,Ritz Carlton Hotel Apartments,Under development,https://propsearch.ae/dubai/ritz-carlton-hotel-apartments,"{'ritz-carlton-hotel-apartments-key-information': {'Location type': 'Hotel apartments building', 'Area': 'Business Bay', 'Phase': 'Under development'}, 'companies-associated-with-ritz-carlton-hotel-apartments': {'Developer': 'Kappa Acca Real Estate Development', 'Owner': 'Khamas Group of Investment Companies', 'Architectural Consultant': 'National Engineering Bureau', 'Contractor': 'AIC Contracting'}, 'ritz-carlton-hotel-apartments-milestones': {'Date Launched': 'Q1 2021'}, 'proximity-to-landmarks': {'Palm Jumeirah': '20 mins drive', 'Al Maktoum International Airport': '38 mins drive', 'La Mer by Meraas': '20 mins drive', 'Mall of the Emirates': '15 mins drive', 'Dubai Mall': '12 mins drive', 'Burj Al Arab': '18 mins drive', 'Ibn Battuta Mall': '23 mins drive', 'The Walk JBR': '24 mins drive', 'Dubai International Airport': '20 mins drive'}}","25°11 4.7""N 55°17 6.4""E","{'caption': 'Ritz Carlton Hotel Apartments, construction site signboard.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/ritz-carlton-hotel-apartments-28528_xl.jpg'}"
178,Business Bay,Business Bay,Reva by Damac,Under development,https://propsearch.ae/dubai/reva-by-damac,"{'reva-by-damac-key-information': {'Location type': 'Multi-building complex', 'Area': 'Business Bay', 'Phase': 'Under development'}, 'companies-associated-with-reva-by-damac': {'Developer': 'Damac Properties', 'Architectural Consultant': 'U+A Architects', 'Contractor': 'Arabtec Construction', 'Piling Contractor': 'National Piling Company'}, 'reva-by-damac-milestones': {'Date Launched': 'January 2018', 'Construction Started': '2018'}, 'proximity-to-landmarks': {'Palm Jumeirah': '22 mins drive', 'Al Maktoum International Airport': '44 mins drive', 'La Mer by Meraas': '19 mins drive', 'Mall of the Emirates': '18 mins drive', 'Dubai Mall': '9 mins drive', 'Burj Al Arab': '21 mins drive', 'Ibn Battuta Mall': '26 mins drive', 'The Walk JBR': '26 mins drive', 'Dubai International Airport': '16 mins drive'}}","25°11 16""N 55°16 59.1""E","{'caption': 'Reva by Damac, construction update May 2021.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/reva-by-damac-28605_xl.jpg'}"
185,Business Bay,Business Bay,Ramee Grand Hotel & Spa,Under development,https://propsearch.ae/dubai/ramee-grand-hotel-spa,"{'ramee-grand-hotel-&-spa-key-information': {'Location type': 'Hotel', 'Area': 'Business Bay', 'Phase': 'Under development', 'Floors': '20', 'Floors below ground': '4', 'Building type': 'High-rise building'}, 'companies-associated-with-ramee-grand-hotel-&-spa': {'Developer': 'Ramee Group', 'Architectural Consultant': 'Archgroup Consultants', 'Contractor': 'Delta Al Wadi Contracting', 'Piling Contractor': 'Delta Foundations Co.'}, 'ramee-grand-hotel-&-spa-milestones': {'Date Launched': '2017', 'Construction Started': '2018'}, 'proximity-to-landmarks': {'Palm Jumeirah': '20 mins drive', 'Al Maktoum International Airport': '42 mins drive', 'La Mer by Meraas': '17 mins drive', 'Mall of the Emirates': '15 mins drive', 'Dubai Mall': '8 mins drive', 'Burj Al Arab': '19 mins drive', 'Ibn Battuta Mall': '24 mins drive', 'The Walk JBR': '23 mins drive', 'Dubai International Airport': '14 mins drive'}}","25°11 17.2""N 55°16 53.6""E","{'caption': 'Ramee Grand Hotel &amp; Spa, construction update May 2021.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/ramee-grand-hotel-spa-28593_xl.jpg'}"
189,Business Bay,Business Bay,SRG Holding Hotel Business Bay,Under development,https://propsearch.ae/dubai/srg-holding-hotel-business-bay,"{'srg-holding-hotel-business-bay-key-information': {'Location type': 'Mixed-use building', 'Area': 'Business Bay', 'Phase': 'Under development', 'Floors': '29', 'Floors below ground': '1', 'Building type': 'Skyscraper'}, 'companies-associated-with-srg-holding-hotel-business-bay': {'Developer': 'SRG Holding Limited', 'Architectural Consultant': 'ERGA Progress Engineering Consultants', 'Contractor': 'Al Habbai Contracting LLC'}, 'srg-holding-hotel-business-bay-milestones': {'Date Launched': '2018', 'Construction Started': '2018'}, 'proximity-to-landmarks': {'Palm Jumeirah': '23 mins drive', 'Al Maktoum International Airport': '43 mins drive', 'La Mer by Meraas': '19 mins drive', 'Mall of the Emirates': '18 mins drive', 'Dubai Mall': '10 mins drive', 'Burj Al Arab': '21 mins drive', 'Ibn Battuta Mall': '26 mins drive', 'The Walk JBR': '26 mins drive', 'Dubai International Airport': '17 mins drive'}}","25°11 6""N 55°17 23.1""E","{'caption': 'SRG Holding Hotel Business Bay, construction update May 2021.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/srg-holding-hotel-business-bay-28521_xl.jpg'}"
192,Business Bay,Business Bay,Kempinski Business Bay,Under development,https://propsearch.ae/dubai/kempinski-business-bay,"{'kempinski-business-bay-key-information': {'Location type': 'Hotel', 'Area': 'Business Bay', 'Phase': 'Under development', 'Floors': '25', 'Building type': 'Skyscraper', 'Total units': '240', 'Unit types': '240 hotel rooms'}, 'companies-associated-with-kempinski-business-bay': {'Developer': 'Seastar Properties Limited', 'Architectural Consultant': 'National Engineering Bureau'}, 'proximity-to-landmarks': {'Palm Jumeirah': '20 mins drive', 'Al Maktoum International Airport': '40 mins drive', 'La Mer by Meraas': '18 mins drive', 'Mall of the Emirates': '15 mins drive', 'Dubai Mall': '12 mins drive', 'Burj Al Arab': '18 mins drive', 'Ibn Battuta Mall': '24 mins drive', 'The Walk JBR': '23 mins drive', 'Dubai International Airport': '20 mins drive'}}","25°10 54.3""N 55°16 45.1""E","{'caption': 'Kempinski Business Bay, construction update May 2021.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/kempinski-business-bay-28611_xl.jpg'}"
193,Business Bay,Business Bay,Kasco Tower,Under development,https://propsearch.ae/dubai/kasco-tower,"{'kasco-tower-key-information': {'Location type': 'Residential building', 'Area': 'Business Bay', 'Phase': 'Under development', 'Floors': '23', 'Floors below ground': '2', 'Building type': 'High-rise building'}, 'companies-associated-with-kasco-tower': {'Developer': 'Ahmed Al Janabi', 'Architectural Consultant': 'Next Engineering Consultants', 'Contractor': 'Sumer Contracting Company'}, 'kasco-tower-milestones': {'Date Launched': '2018', 'Construction Started': '2018'}, 'proximity-to-landmarks': {'Palm Jumeirah': '21 mins drive', 'Al Maktoum International Airport': '42 mins drive', 'La Mer by Meraas': '19 mins drive', 'Mall of the Emirates': '16 mins drive', 'Dubai Mall': '12 mins drive', 'Burj Al Arab': '19 mins drive', 'Ibn Battuta Mall': '25 mins drive', 'The Walk JBR': '24 mins drive', 'Dubai International Airport': '21 mins drive'}}","25°11 0.9""N 55°17 2.5""E","{'caption': 'Kasco Tower, construction update May 2021.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/kasco-tower-28531_xl.jpg'}"
196,Business Bay,Business Bay,J One,Under development,https://propsearch.ae/dubai/j-one,"{'j-one-key-information': {'Location type': 'Multi-building complex', 'Area': 'Business Bay', 'Phase': 'Under development', 'Total units': '347'}, 'companies-associated-with-j-one': {'Developer': 'RKM Real Estate LLC', 'Financier': 'Commercial Bank of Dubai', 'Architectural Consultant': 'QHC Architects & Engineers LLC', 'Contractor': 'Ali & Sons Contracting'}, 'j-one-milestones': {'Date Launched': 'August 2017', 'Construction Started': '2017'}, 'proximity-to-landmarks': {'Palm Jumeirah': '20 mins drive', 'Al Maktoum International Airport': '42 mins drive', 'La Mer by Meraas': '18 mins drive', 'Mall of the Emirates': '15 mins drive', 'Dubai Mall': '8 mins drive', 'Burj Al Arab': '19 mins drive', 'Ibn Battuta Mall': '24 mins drive', 'The Walk JBR': '24 mins drive', 'Dubai International Airport': '15 mins drive'}}","25°11 10.3""N 55°17 0""E","{'caption': 'J One, construction update May 2021.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/j-one-28607_xl.jpg'}"
209,Business Bay,Business Bay,The Court Tower,Under development,https://propsearch.ae/dubai/the-court-tower,"{'the-court-tower-key-information': {'Location type': 'Office building', 'Area': 'Business Bay', 'Phase': 'Under development', 'Floors': '30', 'Building type': 'Skyscraper'}, 'companies-associated-with-the-court-tower': {'Developer': 'Tanmiyat Global', 'Architectural Consultant': 'Al Hazmi & Associates Consultant'}, 'the-court-tower-milestones': {'Date Launched': '2005', 'Construction Started': '2006'}, 'proximity-to-landmarks': {'Palm Jumeirah': '20 mins drive', 'Al Maktoum International Airport': '43 mins drive', 'La Mer by Meraas': '15 mins drive', 'Mall of the Emirates': '16 mins drive', 'Dubai Mall': '7 mins drive', 'Burj Al Arab': '19 mins drive', 'Ibn Battuta Mall': '24 mins drive', 'The Walk JBR': '24 mins drive', 'Dubai International Airport': '16 mins drive'}}","25°11 4.8""N 55°15 31.8""E","{'caption': 'The Court Tower, construction update May 2021.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/the-court-tower-28572_xl.jpg'}"
219,Business Bay,Business Bay,The One Hotel Business Bay,Under development,https://propsearch.ae/dubai/the-one-hotel-business-bay,"{'the-one-hotel-business-bay-key-information': {'Location type': 'Hotel', 'Area': 'Business Bay', 'Phase': 'Under development', 'Floors': '18', 'Floors below ground': '2', 'Building type': 'High-rise building', 'Total units': '492', 'Unit types': '492 hotel rooms'}, 'companies-associated-with-the-one-hotel-business-bay': {'Developer': 'The First Group', 'Architectural Consultant': 'Engineering Consultants Group', 'Contractor': 'China Railway 18th Bureau Group', 'Piling Contractor': 'Stromek Emirates Foundations', 'MEP Consultant': 'Heat & Power Turnkey MEP Solutions'}, 'the-one-hotel-business-bay-milestones': {'Date Launched': 'July 2016', 'Construction Started': '2017'}, 'proximity-to-landmarks': {'Palm Jumeirah': '19 mins drive', 'Al Maktoum International Airport': '39 mins drive', 'La Mer by Meraas': '17 mins drive', 'Mall of the Emirates': '14 mins drive', 'Dubai Mall': '10 mins drive', 'Burj Al Arab': '17 mins drive', 'Ibn Battuta Mall': '23 mins drive', 'The Walk JBR': '22 mins drive', 'Dubai International Airport': '17 mins drive'}}","25°10 44.3""N 55°16 32.8""E","{'caption': 'The One Hotel Business Bay, construction update May 2021.', 'photo_url': 'https://static.propsearch.ae/dubai-locations/the-one-hotel-business-bay-28543_xl.jpg'}"
